Claim Number;date_of_loss;dayofweek;isweekend;month;season;Notifier;Loss_code;Loss_description;Notification_period;Inception_to_loss;Location_of_incident;Weather_conditions;Vehicle_mobile;Time_hour;Main_driver;Vechile_registration_present;Incident_details_present;Injury_details_present;TP_type_insd_pass_back;TP_type_insd_pass_front;TP_type_driver;TP_type_pass_back;TP_type_pass_front;TP_type_bike;TP_type_cyclist;TP_type_pass_multi;TP_type_pedestrian;TP_type_other;TP_type_nk;TP_injury_whiplash;TP_injury_traumatic;TP_injury_fatality;TP_injury_unclear;TP_injury_nk;TP_region_eastang;TP_region_eastmid;TP_region_london;TP_region_north;TP_region_northw;TP_region_outerldn;TP_region_scotland;TP_region_southe;TP_region_southw;TP_region_wales;TP_region_westmid;TP_region_yorkshire;sum_TP;Incurred;Capped Incurred
2337;2010-01-07;4;0;1;4;3;LD003;Head on collision;0;155;4;3;1;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0.0
2338;2010-01-08;5;0;1;4;0;LD003;Head on collision;1;28;4;3;1;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;577;840.2892022261763
2339;2010-01-08;5;0;1;4;3;LD003;Head on collision;0;290;4;3;1;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2021;2940.7794758643204
2340;2010-01-09;6;1;1;4;3;LD003;Head on collision;2;239;4;3;0;21;2;1;0;0;0;0;1;0;0;0;0;0;0;2;0;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;44672;64978.669471251465
2341;2010-01-09;6;1;1;4;0;LD003;Head on collision;0;253;8;3;1;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9924;14435.980616108034
2342;2010-01-10;7;1;1;4;4;LD003;Head on collision;1;258;4;3;1;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0.0
2343;2010-01-11;1;0;1;4;3;LD003;Head on collision;0;108;4;3;0;14;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;13971;20322.511568101636
2344;2010-01-11;1;0;1;4;3;LD003;Head on collision;0;15;7;3;1;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;918;1335.373483928576
2345;2010-01-11;1;0;1;4;3;LD003;Head on collision;0;232;4;2;0;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85;124.89241516620801
2346;2010-01-11;1;0;1;4;3;LD003;Head on collision;0;19;7;3;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;1;1;48;71.215969752576
2347;2010-01-12;2;0;1;4;3;LD003;Head on collision;0;96;4;3;0;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6502;9458.183210413568
2348;2010-01-12;2;0;1;4;3;LD003;Head on collision;10;157;7;3;0;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;100;146.59995674854403
2349;2010-01-13;3;0;1;4;3;LD003;Head on collision;0;190;7;1;1;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;2;3;0;0.0
2350;2010-01-14;4;0;1;4;2;LD003;Head on collision;32;87;7;3;1;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;203;295.37913063449605
2351;2010-01-14;4;0;1;4;3;LD003;Head on collision;2;61;7;1;0;11;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;24182;35174.57455531904
2352;2010-01-15;5;0;1;4;3;LD003;Head on collision;7;248;7;2;1;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1616;2350.888669960704
2353;2010-01-16;6;1;1;4;3;LD003;Head on collision;6;141;7;0;0;12;2;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;1;1;1500;2182.8985333488645
2354;2010-01-18;1;0;1;4;3;LD003;Head on collision;1;8;7;2;0;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;181;264.108422585088
2355;2010-01-19;2;0;1;4;3;LD003;Head on collision;0;201;4;1;1;9;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;16336;23762.691445047298
2356;2010-01-19;2;0;1;4;2;LD003;Head on collision;8;272;5;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.0
2357;2010-01-19;2;0;1;4;0;LD003;Head on collision;1;35;7;1;0;16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19;27.885516379648003
2358;2010-01-20;3;0;1;4;3;LD003;Head on collision;3;305;7;0;0;7;1;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;3;41342;60135.81426849281
2359;2010-01-21;4;0;1;4;3;LD003;Head on collision;0;119;4;1;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;120;175.07788167040002
2360;2010-01-22;5;0;1;4;3;LD003;Head on collision;1;82;7;1;0;19;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;25483;37066.76975402727
2361;2010-01-26;2;0;1;4;3;LD003;Head on collision;0;189;7;1;0;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;1;6;9.753583498496003
2362;2010-01-26;2;0;1;4;3;LD003;Head on collision;1;203;4;1;1;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0.0
2363;2010-01-26;2;0;1;4;3;LD003;Head on collision;0;23;4;3;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;142368;72728.0
2364;2010-01-27;3;0;1;4;3;LD003;Head on collision;23;84;4;2;1;22;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2365;2010-01-29;5;0;1;4;3;LD003;Head on collision;4;102;4;3;1;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1462;2127.889168715264
2366;2010-01-29;5;0;1;4;3;LD003;Head on collision;0;332;4;3;0;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;9203;13386.38078145101
2367;2010-01-30;6;1;1;4;2;LD003;Head on collision;17;202;4;3;1;11;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;27786;40416.7765878697
2368;2010-01-31;7;1;1;4;3;LD003;Head on collision;1;144;7;3;0;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;47;69.100224958976
2369;2010-02-01;1;0;2;4;3;LD003;Head on collision;4;263;4;2;0;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;718;1045.0298259028482
2370;2010-02-01;1;0;2;4;3;LD003;Head on collision;0;61;7;1;1;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;550;800.153523491584
2371;2010-02-02;2;0;2;4;4;LD003;Head on collision;28;180;4;1;2;17;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1113;1619.9411586677763
2372;2010-02-03;3;0;2;4;3;LD003;Head on collision;1;331;2;3;1;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;2723;3961.83791325568
2373;2010-02-03;3;0;2;4;3;LD003;Head on collision;0;95;7;3;0;17;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;20631;30009.34331835955
2374;2010-02-03;3;0;2;4;3;LD003;Head on collision;1;117;4;3;1;18;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0.0
2375;2010-02-03;3;0;2;4;2;LD003;Head on collision;2;0;6;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2812;4091.173392488449
2376;2010-02-04;4;0;2;4;2;LD003;Head on collision;29;161;4;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;19449;28291.146971476992
2377;2010-02-04;4;0;2;4;3;LD003;Head on collision;0;112;7;2;1;10;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;11758;17103.10966036813
2378;2010-02-05;5;0;2;4;3;LD003;Head on collision;0;298;7;1;0;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;187;272.90992092646405
2379;2010-02-05;5;0;2;4;3;LD003;Head on collision;1;114;7;2;0;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2380;2010-02-05;5;0;2;4;3;LD003;Head on collision;3;90;5;0;2;18;2;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;2;459488;72728.0
2381;2010-02-05;5;0;2;4;3;LD003;Head on collision;3;308;4;2;1;15;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2382;2010-02-06;6;1;2;4;3;LD003;Head on collision;1;343;7;0;0;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;19;27.906673827584
2383;2010-02-07;7;1;2;4;4;LD003;Head on collision;9;202;7;2;0;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14143;20572.40218567373
2384;2010-02-08;1;0;2;4;3;LD003;Head on collision;0;132;4;2;2;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1942;2824.9636058626566
2385;2010-02-08;1;0;2;4;3;LD003;Head on collision;1;94;7;2;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;767;1116.288110551296
2386;2010-02-09;2;0;2;4;3;LD003;Head on collision;1;140;4;1;0;20;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;23277;33857.79846812622
2387;2010-02-09;2;0;2;4;3;LD003;Head on collision;3;169;1;1;1;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3438;5001.049440976129
2388;2010-02-10;3;0;2;4;3;LD003;Head on collision;0;306;7;3;0;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;25625;37274.38779062324
2389;2010-02-10;3;0;2;4;2;LD003;Head on collision;0;10;4;3;0;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2390;2010-02-11;4;0;2;4;3;LD003;Head on collision;1;321;4;1;2;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85;124.72315558272001
2391;2010-02-13;6;1;2;4;3;LD003;Head on collision;0;345;7;1;1;8;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;11120;16176.053764156417
2392;2010-02-13;6;1;2;4;3;LD003;Head on collision;0;278;5;1;0;10;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;11889;17293.484376896256
2393;2010-02-15;1;0;2;4;3;LD003;Head on collision;0;116;4;2;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2394;2010-02-17;3;0;2;4;3;LD003;Head on collision;1;166;7;3;1;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;343;499.14651170611205
2395;2010-02-19;5;0;2;4;3;LD003;Head on collision;0;313;4;1;1;17;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;81;118.77791271270401
2396;2010-02-19;5;0;2;4;3;LD003;Head on collision;0;6;7;1;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0.0
2397;2010-02-21;7;1;2;4;3;LD003;Head on collision;0;173;7;3;0;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;249;362.3001384560641
2398;2010-02-21;7;1;2;4;0;LD003;Head on collision;1;246;7;3;1;14;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;23772;34578.50577461811
2399;2010-02-21;7;1;2;4;3;LD003;Head on collision;0;234;7;3;1;0;2;1;0;0;0;0;1;1;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;2;4001;5820.435084641537
2400;2010-02-22;1;0;2;4;3;LD003;Head on collision;0;206;7;1;1;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;18863;27438.459504760325
2401;2010-02-22;1;0;2;4;3;LD003;Head on collision;9;322;4;2;1;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1513;2201.072781125888
2402;2010-02-24;3;0;2;4;2;LD003;Head on collision;0;255;2;1;0;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4116;5987.176931825154
2403;2010-02-24;3;0;2;4;3;LD003;Head on collision;1;34;4;2;0;19;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;8359;12159.820052257282
2404;2010-02-25;4;0;2;4;3;LD003;Head on collision;1;174;7;2;0;18;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;7259;10559.386060586496
2405;2010-02-27;6;1;2;4;3;LD003;Head on collision;3;124;7;2;0;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;86;125.63292584396801
2406;2010-03-01;1;0;3;2;4;LD003;Head on collision;8;85;7;1;1;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0.0
2407;2010-03-02;2;0;3;2;1;LD003;Head on collision;0;174;7;1;1;16;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;3;15875;23091.51372417357
2408;2010-03-04;4;0;3;2;3;LD003;Head on collision;0;151;7;1;1;15;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;9720;14139.458983284992
2409;2010-03-05;5;0;3;2;3;LD003;Head on collision;10;200;4;1;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1250;1818.8000118182404
2410;2010-03-05;5;0;3;2;4;LD003;Head on collision;54;218;7;3;2;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2411;2010-03-05;5;0;3;2;4;LD003;Head on collision;0;56;4;1;1;7;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;31539;45876.2232958272
2412;2010-03-05;5;0;3;2;4;LD003;Head on collision;5;336;5;1;1;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0.0
2413;2010-03-07;7;1;3;2;3;LD003;Head on collision;2;67;7;1;0;17;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;9978;14514.686322429954
2414;2010-03-08;1;0;3;2;3;LD003;Head on collision;0;131;4;1;0;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1668;2426.5688612277763
2415;2010-03-08;1;0;3;2;3;LD003;Head on collision;1;111;1;1;1;17;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2204;3207.088273034752
2416;2010-03-10;3;0;3;2;0;LD003;Head on collision;1;196;4;1;0;23;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;2;29329;42661.24329471232
2417;2010-03-11;4;0;3;2;3;LD003;Head on collision;1;0;4;2;0;20;2;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;5;0;0;0;0;0;7;1;0;0;0;0;0;0;8;39017;56753.478854204164
2418;2010-03-11;4;0;3;2;3;LD003;Head on collision;0;122;7;1;1;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2895;4210.96686270208
2419;2010-03-12;5;0;3;2;0;LD003;Head on collision;0;32;4;1;1;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;104;152.46056982681603
2420;2010-03-14;7;1;3;2;3;LD003;Head on collision;8;184;7;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;233;339.725141508352
2421;2010-03-17;3;0;3;2;3;LD003;Head on collision;1;187;2;1;0;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1680;2445.0393132759045
2422;2010-03-18;4;0;3;2;3;LD003;Head on collision;0;281;4;1;0;10;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2263;3292.6278350400003
2423;2010-03-18;4;0;3;2;3;LD003;Head on collision;1;246;7;1;0;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;144;209.56452180608002
2424;2010-03-19;5;0;3;2;3;LD003;Head on collision;4;221;1;1;1;15;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;9323;13561.670237600769
2425;2010-03-19;5;0;3;2;3;LD003;Head on collision;0;254;4;2;1;16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7648;11124.96695881165
2426;2010-03-20;6;1;3;2;3;LD003;Head on collision;0;129;4;2;1;9;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2026;2947.951850714624
2427;2010-03-22;1;0;3;2;3;LD003;Head on collision;2;280;5;1;1;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2428;2010-03-24;3;0;3;2;3;LD003;Head on collision;0;27;1;1;1;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2429;2010-03-24;3;0;3;2;3;LD003;Head on collision;0;245;4;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4633;6740.339763450881
2430;2010-03-25;4;0;3;2;3;LD003;Head on collision;1;12;5;2;0;17;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;2;-141;-205.502291802368
2431;2010-03-25;4;0;3;2;3;LD003;Head on collision;1;328;4;1;1;19;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2432;2010-03-26;5;0;3;2;3;LD003;Head on collision;0;151;7;1;0;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;752;1094.8133008962561
2433;2010-03-26;5;0;3;2;3;LD003;Head on collision;0;262;4;2;1;13;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;31104;45243.70023233255
2434;2010-03-26;5;0;3;2;3;LD003;Head on collision;1;294;4;0;0;19;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;1;-620;-902.386311918336
2435;2010-03-27;6;1;3;2;4;LD003;Head on collision;12;43;7;0;2;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;29391;42751.24707823207
2436;2010-03-27;6;1;3;2;3;LD003;Head on collision;1;358;7;1;0;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;85;124.74431303065602
2437;2010-03-28;7;1;3;2;3;LD003;Head on collision;1;210;4;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2549;3707.9273805757443
2438;2010-03-29;1;0;3;2;3;LD003;Head on collision;1;3;4;2;0;18;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;21834;31759.423939281667
2439;2010-03-29;1;0;3;2;3;LD003;Head on collision;0;324;7;1;0;8;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;18973;27598.367496260613
2440;2010-03-29;1;0;3;2;3;LD003;Head on collision;0;105;4;2;0;11;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;11498;16724.877963616258
2441;2010-03-30;2;0;3;2;3;LD003;Head on collision;1;17;4;2;0;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3547;5159.836087735809
2442;2010-03-31;3;0;3;2;3;LD003;Head on collision;0;289;2;2;1;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1693;2463.0654589173764
2443;2010-03-31;3;0;3;2;3;LD003;Head on collision;0;121;4;2;0;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2880;4190.1690913809925
2444;2010-04-02;5;0;4;2;3;LD003;Head on collision;1;210;7;2;0;16;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0
2445;2010-04-03;6;1;4;2;3;LD003;Head on collision;13;106;4;1;0;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85;124.74431303065602
2446;2010-04-03;6;1;4;2;3;LD003;Head on collision;0;5;7;1;1;12;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;4490;6531.452279978754
2447;2010-04-05;1;0;4;2;3;LD003;Head on collision;0;12;4;1;1;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2146;3122.648898322176
2448;2010-04-05;1;0;4;2;3;LD003;Head on collision;0;325;4;2;0;13;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;18459;26850.896018129668
2449;2010-04-07;3;0;4;2;3;LD003;Head on collision;173;141;4;0;1;11;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;770;1121.45052784768
2450;2010-04-07;3;0;4;2;3;LD003;Head on collision;0;90;4;1;0;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;847;1233.034908262144
2451;2010-04-08;4;0;4;2;3;LD003;Head on collision;0;275;4;1;1;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10411;15144.628177276418
